year,party,incumbent,turnout,coalition,new,forecast,change_1m,change_6m,measurement
2024,LSDDP.LRP,0,0.51190504150366,0,0,0.0273068272005888,-0.011451676343521,-0.0152806745379851,0.00987557289814324
2024,VL,0,0.51190504150366,0,1,0.0766262272689632,0.00902545563700908,0.0162387809746104,0.0481435751528288
2024,NA.,0,0.51190504150366,0,1,0.111290802141846,0.118288828281051,0.67044128760355,0.0781360092066325
2024,NS,0,0.51190504150366,0,1,0.0119761295644078,0.00130458592122568,0.057467183874779,0.0149834253772908
2024.ep,TS.LKD,1,0.289684655683951,0,0,0.0889484906233933,-0.022423268462817,-0.0495921188291707,0.0606071141490043
2024.ep,LVZS,0,0.289684655683951,0,0,0.0795750778346771,-0.0428186902322572,-0.0764205089136886,0.0259315125242583
2024.ep,LSDP,0,0.289684655683951,0,0,0.154566348980356,-0.0428793152752629,-0.0790723456293082,0.0510734390387241
2024.ep,LRLS,1,0.289684655683951,0,0,0.0452282249571255,-0.0663114326650928,-0.255439015513446,0.0153891779383386
2024.ep,DP,0,0.289684655683951,0,0,0.0375986573612942,-0.0218209119293898,0.00611200770798715,0.00470735680533082
2024.ep,LLRA.KSS,0,0.289684655683951,0,0,0.0164258245535106,-0.0332680221373732,-0.133280353601263,0.0164208757325662
2024.ep,TT.LT,0,0.289684655683951,0,0,0.0118162044428522,-0.111846976947226,-0.803446724825591,0.00354287452033174
2024.ep,LP,1,0.289684655683951,0,0,0.0290541763500535,-0.0247493977052348,-0.0368672065970794,0.0230031327924495
2024.ep,LSDDP.LRP,0,0.289684655683951,0,0,0.0276469617619684,-0.011903766820726,0.0396566685291223,0.0149179396035817
2024.ep,VL,0,0.289684655683951,0,1,0.0657615561533239,-0.0978219204043966,-0.174315395919491,0.0169080314510748
2024.ep,NA.,0,0.289684655683951,0,0,0,0,0,0
2024.ep,NS,0,0.289684655683951,0,1,0.0129477866424678,0.0209745969253738,0.157580491538878,0.010776069
