"date","party","est","lower","upper"
2023-06-04,"NA.",0.000440174029067143,0.000212148468980742,0.000990353460320254
2023-06-04,"oth",0.330816465559067,0.27658648239214,0.371158547389127
2023-06-11,"TS.LKD",0.0929511230726546,0.0662806589955837,0.133061771668044
2023-06-11,"LVZS",0.0827984023178104,0.0551774325042393,0.130730886648947
2023-06-11,"LSDP",0.159385017026456,0.107421665345828,0.235854486762328
2023-06-11,"LRLS",0.0586603522639967,0.0415083286404195,0.0875361814622407
2023-06-11,"DP",0.0416455543257038,0.0221898774426097,0.101284188336029
2023-06-11,"LP",0.0292578955960621,0.02000847877427,0.0462629499090892
2023-06-11,"LSDDP.LRP",0.0209780525221407,0.0110538652667737,0.0558492479707305
2023-06-11,"LLRA.KSS",0.0197989809653862,0.0112012697654402,0.0477918629762937
2023-06-11,"TT.LT",0.0293262590161016,0.0185394686574221,0.055345728694582
