"date","party","res","mandates"
"2024-10-30","LRLS",0.103407541426793,9
"2024-10-30","DP",0.0267997845479148,0
"2024-10-30","LP",0.0342169525943149,0
"2024-10-30","LLRA.KSS",0.02674624354353,0
"2024-10-30","VL",0.0821192910957466,7
"2024-10-30","NA.",0.13010957579109,12
"2024-10-30","NS",0.0273787535114245,0
"2024-11-06","TS.LKD",0.1745183617255,15
"2024-11-06","LVZS",0.0983012140428249,9
"2024-11-06","LSDP",0.20732594623337,18
"2024-11-06","LRLS",0.10353541205662,9
"2024-11-06","DP",0.0263723501392658,0
"2024-11-06","LP",0.0339125023403123,0
"2024-11-06","LLRA.KSS",0.0268540074896563,0
"2024-11-06","VL",0.0828699971764962,7
"2024-11-06","NA.",0.132013904102988,12
"2024-11-06","NS",0.0272963046929667,0
"2024-11-13","TS.LKD",0.174744399781115,15
"2024-11-13","LVZS",0.0981028471105944,9
"2024-11-13","LSDP",0.206163471551345,18
"2024-11-13","LRLS",0.103608127901002,9
"2024-11-13","DP",0.0259260683916993,0
"2024-11-13","LP",0.033477883669553,0
"2024-11-13","LLRA.KSS",0.0269741585771942,0
"2024-11-13","VL",0.0838135545566029,7
"2024-11-13","NA.",0.132940961454178,12
"2024-11-13","NS",0.0272485270067158,0
"2024-11-20","TS.LKD",0.175328317855096,15
"2024-11-20","LVZS",0.0977359803382194,9
"2024-11-20","LSDP",0.20529596149626,18
"2024-11-20","LRLS",0.103870617866725,9
"2024-11-20","DP",0.0256777619588548,0
"2024-11-20","LP",0.0332015451398785,0
"2024-11-20","LLRA.KSS",0.0272744179576647,0
"2024-11-20","VL",0.0846334507320384,7
"2024-11-20","NA.",0.132791861673073,12
"2024-11-20","NS",0.0271900849821898,0
"2024-11-27","TS.LKD",0.175760916251861,15
"2024-11-27","LVZS",0.0976625514607245,9
"2024-11-27","LSDP",0.204915338845722,18
"2024-11-27","LRLS",0.104105168440383,9
"2024-11-27","DP",0.0254335505200646,0
"2024-11-27","LP",0.0329578418323286,0
"2024-11-27","LLRA.KSS",0.0273715869064864,0
"2024-11-27","VL",0.0858380496622697,7
"2024-11-27","NA.",0.131723875763356,12
"2024-11-27","NS",0.0272311203168055,0
"2024-12-04","TS.LKD",0.176394559665591,15
"2024-12-04","LVZS",0.0976785941165479,9
"2024-12-04","LSDP",0.204690785762727,18
"2024-12-04","LRLS",0.104584827284369,9
"2024-12-04","DP",0.025359520537103,0
"2024-12-04","LP",0.0326886102718259,0
"2024-12-04","LLRA.KSS",0.0275044888569955,0
"2024-12-04","VL",0.0873181095424605,8
"2024-12-04","NA.",0.129560502008551,11
"2024-12-04","NS",0.0272200019538296,0
"2024-12-11","TS.LKD",0.177046160855908,15
"2024-12-11","LVZS",0.0976808373138138,9
"2024-12-11","LSDP",0.204157650642331,18
"2024-12-11","LRLS",0.104949265204874,9
"2024-12-11","DP",0.0252702852537956,0
"2024-12-11","LP",0.0324918276323716,0
"2024-12-11","LLRA.KSS",0.0277245441726629,0
"2024-12-11","VL",0.0888212477375432,8
"2024-12-11","NA.",0.127646700635909,11
"2024-12-11","NS",0.0272114805507915,0
"2024-12-18","TS.LKD",0.185774902937264,16
